channel,metric,spend,pct_of_spend,incremental_outcome,effectiveness,roi,mroi,cpik
Channel0,mean,31700000.0,0.26047658175842237,29164196.0,0.010260441340506077,0.9200063943862915,0.42784008383750916,1.6374497413635254
Channel0,median,31700000.0,0.26047658175842237,26768978.0,0.009417761117219925,0.8444472551345825,0.3651987314224243,1.1842066049575806
Channel0,ci_lo,31700000.0,0.26047658175842237,6918379.5,0.002433998044580221,0.21824540197849274,0.0840565413236618,0.5169734358787537
Channel0,ci_hi,31700000.0,0.26047658175842237,61318440.0,0.021572822704911232,1.934335708618164,0.9270726442337036,4.582015037536621
Channel1,mean,25600000.0,0.21035332785538208,21157562.0,0.009243082255125046,0.8264671564102173,0.4280082583427429,2.1665635108947754
Channel1,median,25600000.0,0.21035332785538208,16886972.0,0.00737739447504282,0.6596473455429077,0.3574492335319519,1.515977382659912
Channel1,ci_lo,25600000.0,0.21035332785538208,4437310.0,0.0019385230261832476,0.17333242297172546,0.08215492963790894,0.4804356098175049
Channel1,ci_hi,25600000.0,0.21035332785538208,53286400.0,0.02327917516231537,2.0815000534057617,1.085343837738037,5.769317626953125
Channel2,mean,36000000.0,0.29580936729663104,38479476.0,0.011967182159423828,1.0688745975494385,0.5061106085777283,1.295262336730957
Channel2,median,36000000.0,0.29580936729663104,34805320.0,0.010824508033692837,0.9668145179748535,0.44805556535720825,1.0343270301818848
Channel2,ci_lo,36000000.0,0.29580936729663104,12873372.0,0.004003637935966253,0.3575936555862427,0.12566235661506653,0.49404919147491455
Channel2,ci_hi,36000000.0,0.29580936729663104,72867464.0,0.02266189269721508,2.0240962505340576,1.0945355892181396,2.796807050704956
Channel3,mean,28400000.0,0.23336072308956451,23466758.0,0.009540735743939877,0.826294481754303,0.4274348318576813,1.713759183883667
Channel3,median,28400000.0,0.23336072308956451,20312072.0,0.0082581527531147,0.7152137756347656,0.34235915541648865,1.3981852531433105
Channel3,ci_lo,28400000.0,0.23336072308956451,7509760.5,0.0030531962402164936,0.26442816853523254,0.11379498243331909,0.6044331789016724
Channel3,ci_hi,28400000.0,0.23336072308956451,46987160.0,0.0191032774746418,1.6544774770736694,0.9721655249595642,3.781745195388794
