channel,metric,spend,pct_of_spend,incremental_outcome,effectiveness,roi,mroi,cpik
Channel0,mean,27200000.0,0.22350041084634348,27087664.0,0.011106512509286404,0.9958701133728027,0.4933459758758545,1.509493350982666
Channel0,median,27200000.0,0.22350041084634348,24629032.0,0.010098425671458244,0.9054791927337646,0.4279080927371979,1.1044034957885742
Channel0,ci_lo,27200000.0,0.22350041084634348,6676195.0,0.0027373817283660173,0.24544835090637207,0.10164586454629898,0.48718613386154175
Channel0,ci_hi,27200000.0,0.22350041084634348,55831016.0,0.022891903296113014,2.0526111125946045,1.0418832302093506,4.074368476867676
Channel1,mean,29400000.0,0.24157764995891537,22691304.0,0.008631838485598564,0.771812915802002,0.37729403376579285,2.32053804397583
Channel1,median,29400000.0,0.24157764995891537,18183006.0,0.006916866637766361,0.6184695959091187,0.3175221085548401,1.6169099807739258
Channel1,ci_lo,29400000.0,0.24157764995891537,4769208.5,0.0018142203334718943,0.16221797466278076,0.07307130098342896,0.5236451029777527
Channel1,ci_hi,29400000.0,0.24157764995891537,56153620.0,0.02136099524796009,1.9099870920181274,0.9554707407951355,6.1647467613220215
Channel2,mean,27700000.0,0.2276088742810189,33727144.0,0.013632168993353844,1.2175863981246948,0.6426100730895996,1.1258516311645508
Channel2,median,27700000.0,0.2276088742810189,30419268.0,0.012295158579945564,1.0981684923171997,0.5692635774612427,0.910632312297821
Channel2,ci_lo,27700000.0,0.2276088742810189,11411906.0,0.004612576682120562,0.41198214888572693,0.1736709475517273,0.43972012400627136
Channel2,ci_hi,27700000.0,0.2276088742810189,62997428.0,0.02546292170882225,2.274275302886963,1.3899126052856445,2.427654266357422
Channel3,mean,37400000.0,0.3073130649137223,26878108.0,0.008298015221953392,0.7186657190322876,0.33361464738845825,1.9647504091262817
Channel3,median,37400000.0,0.3073130649137223,22869124.0,0.007060329429805279,0.6114739179611206,0.260311484336853,1.6354016065597534
Channel3,ci_lo,37400000.0,0.3073130649137223,8359669.5,0.002580860396847129,0.22352057695388794,0.07655427604913712,0.6884698867797852
Channel3,ci_hi,37400000.0,0.3073130649137223,54323816.0,0.016771260648965836,1.4525083303451538,0.7821962833404541,4.473887920379639
