user_id,cohort_week,channel,sent,converted,revenue,holdout_flag
1,2024-01-01,email,1,0,0.0,0
2,2024-01-01,email,1,0,0.0,0
3,2024-01-01,email,0,0,0.0,1
4,2024-01-01,email,1,0,0.0,0
5,2024-01-01,email,0,0,0.0,0
6,2024-01-01,email,0,0,0.0,1
7,2024-01-01,email,1,0,0.0,0
8,2024-01-01,email,1,1,45.44,0
9,2024-01-01,email,0,0,0.0,1
10,2024-01-01,email,1,0,0.0,0
11,2024-01-01,email,1,0,0.0,0
12,2024-01-01,email,1,0,0.0,0
13,2024-01-01,email,0,0,0.0,1
14,2024-01-01,email,0,0,0.0,1
15,2024-01-01,email,1,0,0.0,1
16,2024-01-01,email,1,0,0.0,0
17,2024-01-01,email,1,0,0.0,0
18,2024-01-01,email,1,0,0.0,0
19,2024-01-01,email,0,0,0.0,1
20,2024-01-01,email,0,0,0.0,1
21,2024-01-01,email,0,0,0.0,0
22,2024-01-01,email,1,0,0.0,0
23,2024-01-01,email,0,0,0.0,1
24,2024-01-01,email,0,0,0.0,1
25,2024-01-01,email,0,0,0.0,0
26,2024-01-01,email,0,0,0.0,1
27,2024-01-01,email,1,0,0.0,0
28,2024-01-01,email,1,0,0.0,0
29,2024-01-01,email,1,0,0.0,0
30,2024-01-01,email,0,0,0.0,1
31,2024-01-01,email,0,0,0.0,1
32,2024-01-01,email,0,0,0.0,1
33,2024-01-01,email,1,0,0.0,0
34,2024-01-01,email,1,1,38.21,0
35,2024-01-01,email,1,0,0.0,0
36,2024-01-01,email,1,0,0.0,0
37,2024-01-01,email,1,0,0.0,0
38,2024-01-01,email,0,0,0.0,1
39,2024-01-01,email,1,0,0.0,0
40,2024-01-01,email,1,0,0.0,0
41,2024-01-01,email,0,0,0.0,1
42,2024-01-01,email,1,0,0.0,0
43,2024-01-01,email,0,0,0.0,0
44,2024-01-01,email,1,0,0.0,0
45,2024-01-01,email,1,1,47.77,0
46,2024-01-01,email,1,0,0.0,1
47,2024-01-01,email,1,1,75.25,0
48,2024-01-01,email,0,0,0.0,1
49,2024-01-01,email,0,0,0.0,1
